num_app_nodes,total_bytes_received,throughput_(bps),no_of_received_packets,packet_delivery_ratio,mean_hop_count,mean_delay_(s),l3_drop_packets,total_initial_energy,total_remaining_energy
1,1249792.0,24995.8,2431.7,0.9961904,3.2,0.0036628106,0.0,250000.0,11466.6
2,2499584.0,49991.7,4859.1,0.9953092,3.45,0.004424421,0.0,250000.0,11487.72
3,3749376.0,74987.5,7275.9,0.9935684,4.033333,0.006713761,0.0,250000.0,11510.72
4,4999168.0,99983.4,9667.9,0.9901577,4.05,0.007624217,0.0,250000.0,11528.4
5,6248294.4,124965.7,12086.7,0.9903073,4.0,0.008593204,0.0,250000.0,11541.79
6,7489792.0,149795.8,14459.8,0.9872866,3.950001,0.009303673,0.7,250000.0,11554.79
7,8486963.2,169739.5,16328.4,0.9556038,4.04,0.010877963,0.0,250000.0,11572.31
8,9726873.6,194537.4,18648.1,0.9549416,3.945833,0.011526904,0.5,250000.0,11583.44
9,9993318.4,199866.2,19107.1,0.86973,3.752065,0.01139454,0.0,250000.0,11581.85
10,11616307.2,232326.2,22184.6,0.9088325,3.939524,0.012495879,1.0,250000.0,11602.56
11,11866572.8,237331.34,22645.7,0.8433838,3.657676,0.01187849,0.8,250000.0,11597.03
12,13185422.2222,263708.422222,25050.7777778,0.855208922222,3.59814888889,0.0132217742222,1.22222222222,250000.0,11617.0888889
13,12366592.0,247331.86,23490.0,0.74023876,3.417623,0.0119860722,1.1,250000.0,11597.58
14,13862963.2,277259.25,26088.0,0.76338736,3.452381,0.0132538168,2.1,250000.0,11622.85
15,14730188.8,294603.75,27787.6,0.75891297,3.447435,0.0138513773,0.9,250000.0,11629.95
16,14356873.6,287137.53,27035.1,0.6922139,3.333644,0.0136398524,1.0,250000.0,11618.56
17,15812152.8889,316243.033333,29719.4444444,0.716182833333,3.40076444444,0.0143871868889,2.77777777778,250000.0,11635.1555556
18,15502284.8,310045.73,28979.0,0.65954286,3.292639,0.0138986711,3.3,250000.0,11627.62
19,16096460.8,321929.25,30146.3,0.64999886,3.364832,0.0149045221,0.7,250000.0,11641.96
20,14129049.6,282581.15,26613.2,0.54512906,2.994039,0.0131650402,2.4,250000.0,11606.77
21,15177697.6,303554.02,28280.8,0.5517021,3.095773,0.015351623,9.4,250000.0,11620.86
22,18277580.8,365551.72,33944.7,0.63209375,3.379909,0.0183952476,5.3,250000.0,11665.74
23,17088410.6667,341768.355556,31834.0,0.567016366667,3.30038888889,0.0185149215556,4.33333333333,250000.0,11648.0444444
24,14572994.4,291459.92,27234.8,0.46488457,2.858824,0.013797701,3.9,250000.0,11612.32
