num_app_nodes,total_bytes_received,throughput_(bps),no_of_received_packets,packet_delivery_ratio,mean_hop_count,mean_delay_(s),l3_drop_packets,total_initial_energy,total_remaining_energy
1,1239808.0,24796.12,2411.8,0.9880378,3.2,0.0038030917,3.6,250000.0,11466.53
2,2251491.2,45029.83,4353.1,0.8916632,3.45,0.006809774,5.4,250000.0,11482.29
3,3075866.4,61517.31,5924.5,0.8090264,4.033333,0.013321769,12.2,250000.0,11487.57
4,4154940.8,83098.83,7992.0,0.8185171,4.05,0.01426265,26.8,250000.0,11513.4
5,5095737.77778,101914.733333,9837.55555556,0.806026666667,3.91111111111,0.0145568188889,19.7777777778,250000.0,11521.1888889
6,6324814.4,126496.33,12137.0,0.8286905,3.950001,0.015973855,22.5,250000.0,11539.62
7,7249148.0,144982.99,13841.1,0.8100369,4.04,0.013899585,26.1,250000.0,11552.83
8,8671676.0,173433.6,16521.8,0.8460571,3.89238,0.016724779,46.2,250000.0,11572.62
9,9254527.2,185090.56,17567.6,0.7996541,3.919843,0.014900572,33.1,250000.0,11577.72
10,9683380.0,193667.62,18380.4,0.7529865,3.788096,0.016820662,36.9,250000.0,11576.92
11,10133284.8,202665.72,19212.0,0.715504,3.54,0.013867723,36.6,250000.0,11580.8
12,10811384.0,216227.622222,20242.4444444,0.691057255556,3.64814777778,0.0205833981111,90.8888888889,250000.0,11600.5444444
13,11496278.4,229925.44,21671.2,0.68292311,3.650256,0.0162474199,59.8,250000.0,11600.75
14,12850064.8,257001.22,24163.3,0.70706676,3.490435,0.013932285,33.3,250000.0,11611.42
15,13907388.8,278147.79,25986.5,0.70972287,3.423835,0.0211068877,34.4,250000.0,11623.24
16,14537811.2,290756.24,27128.6,0.6946078,3.566573,0.0184437541,58.4,250000.0,11635.1
17,14993762.4,299875.24,27929.1,0.67303895,3.63919,0.0190153556,48.0,250000.0,11638.99
18,13611612.8,272232.35,25408.9,0.57828976,3.342929,0.0214123109,63.4,250000.0,11614.71
19,12681584.0,253631.62,23685.8,0.51070104,3.122057,0.0147753433,41.9,250000.0,11596.69
20,14505984.0,290119.77,26946.3,0.55195223,3.241948,0.017604358,56.2,250000.0,11622.87
21,14314243.2,286284.81,26549.7,0.5179318,3.115886,0.0188588557,43.0,250000.0,11616.95
22,12039292.0,240785.81,22508.8,0.41914266,2.895129,0.0205795954,53.7,250000.0,11586.65
23,13692540.8,273850.85,25476.1,0.45377165,2.89849,0.0165358042,25.8,250000.0,11606.36
24,14260145.6,285203.09,26428.5,0.45112137,2.911863,0.0239594824,54.4,250000.0,11612.27
