node_id,initial_energy,remaining_energy,lifetime
0,100,9.20228,300
1,100,9.69454,300
2,100,9.64113,300
3,100,9.24878,300
4,100,9.86174,300
5,100,0,281.054
6,100,9.24537,300
7,100,9.23005,300
8,100,9.22665,300
9,100,9.7081,300
10,100,0,284.003
11,100,9.24002,300
12,100,9.24389,300
13,100,9.22812,300
14,100,9.66777,300
15,100,9.71978,300
16,100,9.23557,300
17,100,9.24291,300
18,100,9.23997,300
19,100,9.25865,300
20,100,9.88077,300
21,100,9.2463,300
22,100,9.65184,300
23,100,9.69314,300
24,100,9.87492,300
