Node_id\/--num_app_nodes->,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0
1,294.459444444,286.8945,277.1868,263.0802,253.3538,247.2587,236.6613,227.5833,224.622,218.8011,212.6989,210.6681,210.4127,206.0276,204.1844,203.3581,200.9026,201.4741,199.6872,191.8771,191.7262,188.5365,185.8474,184.8397
2,298.243888889,294.4368,290.7633,283.2754,282.0706,279.4772,273.2353,271.8602,267.88475,264.9306,257.8706,250.9113,250.3386,248.761,242.2486,240.3817,236.3274,234.1708,232.8181,232.2225,232.4003,230.8911,220.7529,214.6749
3,300.0,295.5408,294.2843,292.8447,293.8903,292.8253,286.944,284.8411,283.611875,282.8415,277.4555,275.3203,275.6477,275.4384,272.5403,271.3761,266.1285,266.6359,266.4773,263.265,263.7412,263.9661,258.7255,255.2175
4,300.0,298.6372,297.4734,296.1703,296.5504,295.8582,296.1377,297.4734,297.454,298.0606,298.4537,298.9808,299.2101,299.4148,299.5829,299.7114,296.8754,296.9813,296.5909,294.4312,294.5185,294.3526,293.8907,293.1768
5,288.372555556,273.219,257.6576,252.3617,240.1854,230.3353,228.0402,222.248,215.112375,215.7773,214.4609,211.8182,210.1632,207.6011,205.7133,200.8381,199.5877,199.299,195.5633,191.0746,186.3039,184.7314,184.6061,184.5791
6,294.460888889,291.0517,286.8885,282.6277,274.1336,263.4114,252.6827,247.3997,248.213625,232.8792,226.4862,219.2157,214.8331,215.3017,212.9229,214.6423,212.6834,208.7416,207.4375,199.0987,200.5327,197.3451,196.6441,193.8487
7,296.158333333,294.8567,292.8978,291.2643,290.1984,284.2107,270.3096,267.5387,268.03875,256.3085,253.3782,248.1656,243.3228,239.7313,236.3912,236.6257,234.8262,232.4934,225.0817,226.3057,224.0778,220.0327,215.304,212.3519
8,298.280333333,293.8537,294.3367,295.4181,294.5922,292.4888,286.2657,286.0377,282.557875,281.0729,275.8977,274.6218,270.572,272.3093,272.7268,270.8938,268.6133,265.6589,263.7133,262.4911,262.6232,260.0867,250.4961,249.8732
9,300.0,298.5868,298.763,298.9169,299.1361,299.4127,297.247,297.996,298.3305,297.5716,297.8088,299.0122,298.5925,298.2676,298.2015,298.1831,297.6847,296.7854,297.1062,295.8129,296.0641,295.8056,295.5978,295.8741
10,294.667222222,285.9342,279.0521,274.794,262.0359,253.3196,249.4915,249.0827,237.867125,231.5258,229.0551,227.5144,226.8614,228.771,222.8169,221.7776,215.3712,215.6174,215.4641,212.6171,208.0257,205.2444,205.4215,205.3448
11,292.519555556,289.6447,283.3829,274.0117,265.5967,260.6608,262.5141,264.3554,258.692125,257.7349,246.969,240.9771,235.0298,231.9544,230.2442,226.3582,222.4423,218.3674,219.4181,219.9549,220.575,217.9319,214.8166,208.8625
12,294.830555556,294.5162,291.1809,281.9112,278.7992,271.3194,269.6299,271.2202,273.71375,263.8784,260.5073,260.0966,256.8229,252.2306,250.9835,248.7975,245.1167,242.1664,238.4097,240.8922,237.2836,228.9911,229.2915,222.6655
13,298.283222222,295.8014,292.8143,289.3242,285.034,280.4153,278.7085,279.299,279.377625,275.8782,272.906,273.9608,270.2975,270.1717,270.7525,267.0374,265.804,259.6482,258.9256,261.4855,257.8462,249.9394,247.3381,244.2751
14,300.0,299.1472,299.1456,299.1333,298.6201,295.7104,294.9904,295.4412,294.226875,290.9944,292.3123,293.5117,293.1561,293.0841,292.8907,293.7762,291.5992,290.7649,290.958,292.6384,292.7828,290.5634,291.1207,292.0101
15,300.0,297.7155,297.0008,294.5405,291.0094,290.5086,287.2689,284.5747,282.136625,276.5447,277.9739,277.9006,273.769,267.8467,266.1978,269.4634,265.4846,265.1343,261.4773,260.8491,256.3645,257.2345,257.6497,257.6456
