num_app_nodes,total_bytes_received,throughput_(bps),no_of_received_packets,packet_delivery_ratio,mean_hop_count,mean_delay_(s),l3_drop_packets,total_initial_energy,total_remaining_energy,average_lifetime
1,880355.555556,23476.1444444,1714.77777778,0.936525444444,3.55555555556,0.00878847,0.0,2500.0,202.836888889,297.663444444
2,1740902.4,46424.07,3387.5,0.925041,4.05,0.010039023,0.1,2500.0,165.7977,294.7899
3,2576896.0,68717.24,5009.5,0.9119789,4.199999,0.010490593,0.2,2500.0,135.19241,291.8802
4,3302216.0,88059.1,6414.9,0.8758739,4.35,0.01105573,1.2,2500.0,112.78348,288.6282
5,4047772.0,107940.6,7858.7,0.8584052,4.25,0.01087339,0.8,2500.0,96.66602,285.6194
6,4716732.8,125779.6,9159.3,0.8337247,4.241666,0.010783826,0.8,2500.0,87.15741,282.5666
7,5322208.0,141925.5,10333.0,0.8061948,4.235714,0.010682178,1.0,2500.0,79.77842,280.0662
8,5843776.8,155834.2,11344.0,0.7744403,4.1,0.010291176,1.6,2500.0,75.77571,279.1396
9,6413086.0,171015.5,12447.625,0.755362875,3.9583325,0.009935365,0.25,2500.0,71.3826,277.559125
10,7107115.2,189523.0,13786.9,0.7529709,4.06,0.010209432,2.2,2500.0,65.02695,273.908
11,7616226.4,203099.2,14772.0,0.7334294,4.181819,0.01052013,4.5,2500.0,61.86964,270.6253
12,8196352.8,218569.4,15885.7,0.7229974,4.233334,0.010730184,3.1,2500.0,58.31512,268.4859
13,8856685.6,236178.5,17158.3,0.7208461,4.269232,0.010842763,5.0,2500.0,50.67235,266.5914
14,9404828.8,250795.5,18223.7,0.710919,4.164287,0.010567635,3.0,2500.0,47.91943,265.5391
15,9940839.2,265089.1,19256.1,0.7011142,4.173333,0.010549152,3.9,2500.0,44.95736,264.2449
16,10382985.6,276879.7,20117.6,0.686701,4.1875,0.010513566,3.2,2500.0,42.26926,263.6466
17,10934449.6,291585.4,21186.4,0.6806439,4.199999,0.010578292,1.4,2500.0,36.45374,261.7591
18,11444296.0,305181.0,22183.1,0.6730717,4.222222,0.010595123,1.3,2500.0,31.32359,260.5026
19,12147112.0,323922.9,23534.4,0.6764899,4.205262,0.010634184,1.1,2500.0,24.391934,258.8429
20,12383496.8,330226.6,24011.5,0.6556935,4.165,0.010435144,1.6,2500.0,23.73729,258.0092
21,12914665.6,344391.1,25032.1,0.6510129,4.157143,0.010438989,2.6,2500.0,21.61795,257.4202
22,13301070.4,354695.2,25792.0,0.6402859,4.156817,0.010432717,0.8,2500.0,18.720648,255.2377
23,13858354.4,369556.3,26866.6,0.6379645,4.165214,0.01047835,3.0,2500.0,14.207801,253.5255
24,14442984.8,385146.2,28003.2,0.6372474,4.170836,0.010498,4.3,2500.0,11.850366,251.5896
