num_app_nodes,total_bytes_received,throughput_(bps),no_of_received_packets,packet_delivery_ratio,mean_hop_count,mean_delay_(s),l3_drop_packets,total_initial_energy,total_remaining_energy,average_lifetime
1,574248.0,15313.277,1106.8,0.604478345,3.9,0.014068053,19.7,2500.0,211.1572,299.3166
2,1302310.4,34728.26667,2508.0,0.684871737,4.05,0.011984306,50.5,2500.0,179.3369,297.9016
3,1795853.33333,47889.4111111,3456.77777778,0.629306111111,4.33333333333,0.0126017633333,50.3333333333,2500.0,168.296555556,297.475111111
4,2237404.44444,59664.1111111,4306.0,0.587930111111,4.38095222222,0.0123620322222,64.1111111111,2500.0,154.046944444,295.971
5,2858048.0,76214.5888889,5496.0,0.600327666667,4.37407444444,0.0121304677778,94.7777777778,2500.0,144.073144444,293.612111111
6,3371240.8,89899.9,6482.8,0.5900964,4.299999,0.011369608,101.5,2500.0,127.80837,292.1893
7,4158641.6,110897.03,7982.5,0.6228055,4.266668,0.011297597,131.7,2500.0,111.42098,289.7362
8,4609184.8,122911.57,8850.9,0.6042394,4.163462,0.010794823,126.4,2500.0,111.18372,288.4744
9,5093408.8,135824.16,9786.4,0.5938709,4.013196,0.009905169,111.9,2500.0,106.80766,287.6063
10,5364292.8,143047.82,10294.2,0.5622174,3.996056,0.01007702,132.1,2500.0,106.51399,286.7312
11,5991703.2,159778.89,11492.3,0.5705922,4.190616,0.01076432,166.8,2500.0,99.53768,284.9169
12,6312936.0,168345.01,12102.1,0.5507964,4.116789,0.009683132,154.0,2500.0,97.56103,283.7336
13,6855551.2,182814.89,13123.9,0.5513548,4.21051,0.010625798,188.6,2500.0,91.63576,282.1038
14,7080446.4,188811.91,13568.5,0.5293165,4.158571,0.010194243,151.2,2500.0,92.5611,281.9464
15,7665461.6,204412.3,14693.7,0.5349972,4.099098,0.00993099,171.9,2500.0,88.18101,279.8882
16,7860692.0,209618.5,15092.1,0.5151591,4.03962,0.009505752,189.9,2500.0,86.69829,279.6204
17,8409794.4,224261.2,16119.8,0.5178719,4.254088,0.010860363,213.4,2500.0,80.49133,278.1922
18,8711200.0,232298.7,16692.2,0.5064689,4.134048,0.010089909,239.7,2500.0,78.77359,277.115
19,9344380.0,249183.5,17826.0,0.5124035,4.17141,0.010265055,247.0,2500.0,68.31455,276.427
20,9234200.0,246245.3,17701.8,0.4833916,4.148961,0.010386016,224.3,2500.0,81.17456,276.9194
21,9924082.4,264642.2,19013.7,0.4944917,4.14881,0.010408676,270.5,2500.0,70.28512,274.9255
22,10040816.0,267755.1,19240.9,0.4776551,4.117665,0.010389368,254.6,2500.0,75.78692,275.8957
23,10726494.4,286039.7,20564.1,0.4883078,4.196436,0.010739394,246.9,2500.0,67.6683,274.3648
24,11514096.8,307042.6,22019.8,0.5010878,4.122507,0.010368428,304.5,2500.0,62.44358,272.5399
