node_id,initial_energy,remaining_energy,lifetime
0,100,8.85804,300
1,100,0,289.709
2,100,0,292.843
3,100,0,294.143
4,100,0,295.995
5,100,0,289.854
6,100,3.50842,300
7,100,8.13407,300
8,100,8.34257,300
9,100,8.79946,300
10,100,2.46444,300
11,100,0.545497,300
12,100,6.02506,300
13,100,8.80834,300
14,100,9.35266,300
15,100,1.19665,300
16,100,3.00901,300
17,100,8.86466,300
18,100,8.99304,300
19,100,9.01053,300
20,100,0,292.529
21,100,4.88331,300
22,100,9.62934,300
23,100,9.36296,300
24,100,9.69769,300
