node_id,initial_energy,remaining_energy,lifetime
0,100,8.46025,300
1,100,0,259.767
2,100,9.4124,300
3,100,9.41349,300
4,100,9.61061,300
5,100,0,249.52
6,100,0,271.424
7,100,4.78508,300
8,100,8.8573,300
9,100,8.95744,300
10,100,0,288.566
11,100,5.10607,300
12,100,7.93232,300
13,100,9.06644,300
14,100,9.37253,300
15,100,9.70255,300
16,100,9.16551,300
17,100,9.05162,300
18,100,9.07959,300
19,100,9.03423,300
20,100,9.85104,300
21,100,9.21602,300
22,100,9.55654,300
23,100,9.68884,300
24,100,9.79118,300
