Node_id\/--num_app_nodes->,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0
1,298.3049,293.757,281.3636,272.942,260.7141,253.7844,248.3631,237.3679,229.3858,224.8091,218.846125,219.6337,217.4817,213.1775,210.8383,208.7685,207.6771,208.567555556,207.8428,201.2643,197.9661,198.0517,195.5354,194.5863
2,300.0,300.0,296.9095,292.1698,290.3471,289.4453,285.5387,283.2367,277.1925,270.2843,265.753375,263.1183,261.2035,258.4995,251.8867,251.0177,244.2439,247.223666667,246.9705,247.1709,245.2666,241.6976,234.6387,229.7097
3,300.0,299.3992,297.9546,296.9222,297.2982,296.8147,293.9481,291.2172,289.5705,288.1714,286.677,286.2963,284.6317,284.0362,281.0115,280.4749,273.8519,281.893666667,278.2927,278.7964,276.7088,273.2413,266.1939,264.113
4,300.0,298.7245,297.6602,297.3231,298.3309,297.5163,297.8434,297.9474,298.3616,298.3671,299.35075,298.9579,298.9751,299.1291,299.6495,299.681,297.5464,299.98,297.7555,298.2951,294.0694,290.6325,288.6752,288.3399
5,296.4299,288.2218,277.1616,269.8139,261.0892,254.0697,249.7925,245.8153,239.2953,233.1206,229.0125,228.967,227.7732,224.3663,222.3033,214.6931,213.0451,211.327777778,207.8928,205.1482,200.8408,199.195,198.5818,197.1874
6,296.0145,293.016,283.3044,279.2033,267.4654,255.297,251.491,248.3144,243.9032,235.4767,223.533875,226.9845,224.857,221.8078,222.8657,220.1664,219.861,212.998888889,218.7643,212.5694,209.9449,208.6221,209.3036,208.7949
7,296.628,296.5905,294.2688,289.1296,286.3389,278.1122,266.0916,262.154,259.4179,253.2977,246.160375,244.3187,243.0544,236.815,234.4407,228.5889,228.3132,225.969888889,231.9275,233.3881,230.3521,225.8718,224.8799,224.0109
8,299.2298,298.4427,294.2537,293.9724,294.3625,288.8244,282.1259,278.1695,277.6802,273.1645,265.9405,266.9274,264.2155,266.1326,262.6519,259.9543,256.8367,249.078555556,254.1174,252.0123,254.1429,251.9235,251.1586,249.1923
9,300.0,300.0,299.0482,299.1639,299.2532,299.3767,295.5675,296.0658,296.5191,296.7637,296.317375,297.4892,295.6289,295.4516,295.2997,295.4889,296.1217,295.461444444,295.9238,295.8284,289.9568,288.7938,291.4684,289.9506
10,298.3646,296.9154,296.1346,293.7962,286.2959,281.8394,280.9001,281.0415,271.7251,269.267,263.673875,263.1769,256.5434,256.4226,248.7139,248.2401,243.6976,237.817,240.6066,237.2383,236.7835,235.3145,233.9893,231.6761
11,297.1138,296.9,294.2902,292.081,282.9813,284.2183,284.435,284.9784,282.2084,281.0287,276.60625,273.0188,270.8865,269.4446,266.4139,270.1589,268.5482,267.297333333,268.3285,267.5247,267.5743,263.7845,266.6809,258.0987
12,296.5776,296.5457,296.8593,295.9382,294.8054,293.3598,294.3137,294.214,292.3809,287.3028,281.943875,279.4963,279.8839,277.3066,275.7378,271.5834,273.7747,273.038111111,272.2141,274.419,275.6347,266.5645,268.3699,261.7696
13,299.3042,298.3814,296.0098,296.2874,297.9519,291.4413,292.1581,290.0488,288.5767,284.9964,282.8615,282.5353,284.9728,286.2764,279.1172,280.5803,274.5826,268.070333333,268.3803,267.5858,271.7816,267.9155,272.0755,266.5397
14,300.0,300.0,300.0,300.0,299.9815,296.4307,299.6318,298.2912,298.8682,294.4731,297.205375,293.1102,295.0913,294.4879,288.2022,294.506,290.9248,294.306777778,287.574,291.2512,291.0199,290.7462,292.8787,295.3169
15,300.0,300.0,298.5919,297.4589,297.8231,297.1177,297.6285,297.7284,296.2485,294.2353,292.54925,293.2257,289.3021,284.534,281.3062,282.9867,280.3009,279.098222222,274.7979,275.0771,271.5313,272.8652,273.2672,272.6709
16,298.5301,298.3091,297.4736,295.1654,292.7006,293.5084,292.9743,291.6058,291.9634,292.8957,295.171375,292.5695,292.522,292.7921,293.2669,292.4542,292.3399,293.653666667,293.1662,292.3418,290.3776,290.9657,291.5048,284.409
17,298.448,298.4368,298.5306,298.8117,297.9122,298.1975,298.8169,299.3252,299.2386,298.142,288.923625,288.7591,290.0445,290.2465,289.1457,287.1182,288.1342,288.285333333,290.2278,291.8305,291.6285,290.3455,294.2936,288.5996
18,300.0,298.5056,298.7614,298.9852,300.0,298.0473,298.0856,299.139,299.8087,298.1287,299.636,298.2225,298.3623,298.6786,297.9574,297.4878,297.2532,295.745555556,298.8531,293.7127,296.6595,294.8742,292.8103,292.5429
19,300.0,300.0,300.0,300.0,299.9336,297.7112,300.0,300.0,300.0,299.3843,300.0,298.7645,300.0,299.7429,298.6255,299.5818,298.1457,299.565444444,297.2275,298.1583,298.1132,300.0,299.2467,299.2887
20,300.0,300.0,300.0,298.2744,298.0672,298.0006,297.1358,297.3204,297.5732,298.7106,299.033125,298.0395,298.2131,298.508,299.0113,299.1928,299.4884,299.654,299.7163,299.7594,299.9444,299.9948,300.0,300.0
21,300.0,298.4604,298.8697,299.2734,298.9771,299.4001,299.4149,299.7134,299.7903,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0
22,298.6881,298.6668,298.7631,299.0481,298.4095,298.6864,299.3,299.8526,299.5651,299.9609,299.092375,299.8027,300.0,300.0,299.9645,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0
23,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,299.694875,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,299.1888,300.0
24,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0
