Node_id\/--num_app_nodes->,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,330.5343,328.9295,327.7114,326.8436,325.7854,325.2079,324.5249,324.2663,323.7679,323.271,322.749,322.5136,322.1724,322.1444,321.6864,321.7409,321.7888,321.7736,321.705,321.889111111,321.8238,321.7213,321.8371,321.8145
1,310.7631,292.3638,274.6566,263.3409,249.7929,243.0827,235.7595,227.0436,220.165,217.4172,213.785111111,209.3891,206.7616,203.6861,198.698,197.0059,196.4864,197.5768,196.459,191.379444444,191.171,191.6101,189.2562,188.5424
2,328.6406,314.0765,300.6249,288.1927,284.1258,279.9534,276.1846,272.8558,268.768,265.3859,262.305777778,253.1908,252.2779,250.1801,242.3064,243.056,236.8916,234.2384,234.2802,229.528,230.6837,230.3221,221.8976,215.7344
3,331.4891,319.6494,314.6422,304.2045,305.7578,301.8095,298.2249,295.9664,293.2233,293.5769,290.293222222,285.0977,284.7253,284.7844,280.441,280.4115,273.9077,271.1005,268.9354,261.378666667,264.4492,261.0136,254.3546,250.9097
4,332.7364,327.7684,323.9132,313.7717,314.6247,311.3679,308.5191,309.0629,309.2792,310.8871,311.136222222,310.3356,309.6368,306.4145,306.2486,305.847,302.3581,300.8712,297.7199,293.868777778,297.74,294.7324,288.7783,285.9741
5,303.5074,285.6773,271.4741,262.5248,252.1751,245.0606,239.6192,235.1492,228.651,223.7579,221.864333333,217.7353,218.2017,216.2682,213.9589,208.6426,206.643,206.1225,201.7307,201.758444444,195.8867,193.5472,193.5004,193.8022
6,301.9003,288.0127,280.2398,274.7574,263.9882,252.4654,244.7681,237.7157,234.139,226.0216,222.593555556,216.524,214.3971,214.3366,211.1208,212.4435,210.9867,210.3364,208.8041,206.379111111,204.9458,202.1811,201.6752,203.4991
7,307.2797,293.9613,288.4808,282.396,280.1862,274.3837,258.9086,255.7889,251.8399,245.1579,234.319,230.6794,226.541,224.9564,220.036,219.5734,218.1309,217.2185,215.0631,221.230444444,214.9176,209.4586,209.9013,210.8051
8,320.987,302.9193,293.348,291.2099,291.0904,285.554,276.7328,276.1261,272.0602,267.0274,253.211333333,255.9016,250.8988,252.6688,249.4436,241.4557,238.8814,231.5368,231.0067,238.413333333,234.0082,227.6925,224.5946,225.374
9,331.0907,321.1667,323.4778,321.7612,323.5852,323.827,312.0333,313.8693,315.1566,312.4293,313.558888889,313.0889,308.1211,307.8198,306.0541,305.816,303.4481,302.7724,299.1708,302.355,295.3196,294.1797,289.2676,290.1772
10,325.4934,319.785,312.7088,302.0555,291.9405,285.0141,280.433,280.2867,267.7515,265.4607,264.945,259.266,255.3231,255.1028,248.0436,245.3955,239.8941,240.1462,237.601,233.917222222,232.7547,229.669,229.4411,229.3632
11,320.1817,315.527,304.325,298.97,288.4924,288.8088,291.7321,288.8078,287.0125,287.7581,278.919444444,276.3279,272.6957,270.3808,266.0199,268.563,265.2163,265.7874,266.2792,268.477222222,265.0888,262.9296,258.933,253.6349
