num_app_nodes,total_bytes_received,throughput_(bps),no_of_received_packets,packet_delivery_ratio,mean_hop_count,mean_delay_(s),l3_drop_packets,total_initial_energy,total_remaining_energy,average_lifetime
1,733747.2,24803.8,1423.2,0.5830398,3.6,0.00948514,7.4,2500.0,0.0,325.7147
2,1309228.8,44878.63,2540.0,0.52027856,4.05,0.010667901,11.0,2500.0,0.0,321.2203
3,2017008.0,58069.94,3909.5,0.533866,4.216666,0.010891026,15.9,2500.0,0.0,316.3445
4,2509096.0,74669.11,4863.0,0.4980541,4.371429,0.011148902,12.5,2500.0,0.0,312.8749
5,3175784.8,96934.18,6146.4,0.5035968,4.204444,0.010666753,22.9,2500.0,0.0,309.0431
6,3710498.4,117115.18,7173.0,0.4897583,4.216666,0.010591898,51.8,2500.0,0.0,304.96
7,4131372.0,133051.03,7982.6,0.467174,4.188095,0.010561347,52.0,2500.0,0.0,302.6556
8,4698428.44444,155751.766667,9058.33333333,0.463863888889,4.05181666667,0.0101660644444,41.0,2500.0,0.0,301.385666667
9,5280719.2,178488.65,10190.8,0.4638719,3.987777,0.009961193,62.1,2500.0,0.0,298.2325
10,5900183.2,204344.7,11362.4,0.4654813,4.004412,0.010103004,101.0,2500.0,0.0,295.1298
11,6140309.6,214859.5,11831.6,0.4406392,4.124243,0.010338626,103.5,2500.0,0.0,293.163
12,6662972.0,234416.0,12820.2,0.4376691,4.17254,0.01046091,113.7,2500.0,0.0,290.8921
13,6971532.8,247873.8,13412.1,0.4226546,4.218845,0.010496871,130.9,2500.0,0.0,289.7778
14,7381562.4,267105.4,14204.7,0.4156582,4.112435,0.010111515,134.5,2500.0,0.0,288.3839
15,8098390.4,294070.6,15571.6,0.4252792,4.119326,0.010357022,143.7,2500.0,0.0,286.0685
16,8296048.0,308987.9,15960.4,0.4086543,4.167238,0.010596203,153.0,2500.0,0.0,285.1698
17,8893133.6,334274.5,17077.8,0.4115429,4.181556,0.010740634,179.5,2500.0,0.0,282.9745
18,9161520.8,343081.8,17607.7,0.4007397,4.180353,0.01060295,172.9,2500.0,0.0,284.5779
19,9534921.6,364785.2,18312.9,0.3948532,4.181384,0.010640577,171.0,2500.0,0.0,282.2536
20,9857195.2,387212.4,18947.1,0.3881012,4.109334,0.010328967,182.4,2500.0,0.0,280.8923
21,10084700.0,405078.5,19394.1,0.3783403,4.115663,0.010391206,216.1,2500.0,0.0,279.7902
22,10799949.6,435115.6,20716.8,0.3857732,4.089418,0.010316362,234.8,2500.0,0.0,277.7555
23,11706717.3333,478402.444444,22468.5555556,0.400202222222,4.13425666667,0.0103970955556,289.222222222,2500.0,0.0,274.376333333
24,11847020.8,483500.5,22736.9,0.3881075,4.156773,0.010336346,266.4,2500.0,0.0,274.9144
